year,country,iso,value,note,source
2014,Afghanistan,AFG,Yes,,
2018,Afghanistan,AFG,Yes,,
2019,Afghanistan,AFG,Yes,,
2020,Afghanistan,AFG,Yes,,
2014,South Africa,ZAF,Yes,,
2015,South Africa,ZAF,Yes,,
2020,South Africa,ZAF,Yes,,
2014,Albania,ALB,Yes,,
2015,Albania,ALB,Yes,,
2016,Albania,ALB,Yes,,
2017,Albania,ALB,Yes,,
2018,Albania,ALB,Yes,,
2019,Albania,ALB,Yes,,
2020,Albania,ALB,Yes,,
2016,Andorra,AND,Yes,,
2019,Argentina,ARG,Yes,,
2020,Argentina,ARG,Yes,,
2014,Armenia,ARM,Yes,,
2015,Armenia,ARM,Yes,,
2016,Armenia,ARM,Yes,,
2018,Armenia,ARM,Yes,,
2019,Armenia,ARM,Yes,,
2020,Armenia,ARM,Yes,,
2014,Saudi Arabia,SAU,Yes,,
2015,Saudi Arabia,SAU,Yes,,
2016,Saudi Arabia,SAU,Yes,,
2017,Saudi Arabia,SAU,Yes,,
2018,Saudi Arabia,SAU,Yes,,
2019,Saudi Arabia,SAU,Yes,,
2020,Saudi Arabia,SAU,Yes,,
2014,Australia,AUS,No,,
2015,Australia,AUS,No,,
2017,Australia,AUS,No,,
2018,Australia,AUS,No,,
2019,Australia,AUS,No,,
2020,Australia,AUS,No,,
2014,Austria,AUT,No,,
2015,Austria,AUT,Yes,,
2016,Austria,AUT,Yes,,
2017,Austria,AUT,Yes,,
2018,Austria,AUT,Yes,,
2019,Austria,AUT,Yes,,
2014,Azerbaijan,AZE,Yes,,
2015,Azerbaijan,AZE,Yes,,
2016,Azerbaijan,AZE,Yes,,
2017,Azerbaijan,AZE,Yes,,
2018,Azerbaijan,AZE,Yes,,
2019,Azerbaijan,AZE,Yes,,
2020,Azerbaijan,AZE,Yes,,
2014,Brazil,BRA,Yes,,
2015,Brazil,BRA,Yes,,
2016,Brazil,BRA,Yes,,
2017,Brazil,BRA,Yes,,
2018,Brazil,BRA,Yes,,
2019,Brazil,BRA,Yes,,
2020,Brazil,BRA,Yes,,
2014,Bahamas,BHS,No,,
2016,Bahamas,BHS,Yes,,
2017,Bahamas,BHS,Yes,,
2018,Bahamas,BHS,Yes,,
2019,Bahamas,BHS,Yes,,
2020,Bahamas,BHS,Yes,,
2018,Burundi,BDI,Yes,,
2019,Burundi,BDI,Yes,,
2020,Burundi,BDI,Yes,,
2015,Belgium,BEL,Yes,,
2016,Belgium,BEL,Yes,,
2017,Belgium,BEL,Yes,,
2018,Belgium,BEL,Yes,,
2019,Belgium,BEL,Yes,,
2020,Belgium,BEL,Yes,,
2015,Benin,BEN,Yes,,
2018,Benin,BEN,Yes,,
2019,Benin,BEN,Yes,,
2020,Benin,BEN,Yes,,
2018,Burkina Faso,BFA,Yes,,
2019,Burkina Faso,BFA,Yes,,
2015,Bangladesh,BGD,Yes,,
2018,Bangladesh,BGD,Yes,,
2020,Bangladesh,BGD,Yes,,
2019,Bahrain,BHR,Yes,,
2018,Belarus,BLR,Yes,,
2019,Belarus,BLR,Yes,,
2020,Belarus,BLR,Yes,,
2014,Belize,BLZ,No,,
2019,Bolivia (Plurinational State of),BOL,No,,
2019,Botswana,BWA,Yes,,
2020,Botswana,BWA,Yes,,
2014,Barbados,BRB,No,,
2015,Myanmar,MMR,Yes,,
2018,Myanmar,MMR,No,,
2019,Myanmar,MMR,No,,
2020,Myanmar,MMR,No,,
2014,Brunei Darussalam,BRN,No,,
2018,Brunei Darussalam,BRN,Yes,,
2019,Brunei Darussalam,BRN,Yes,,
2016,Bhutan,BTN,Yes,,
2020,Bhutan,BTN,Yes,,
2016,Bulgaria,BGR,No,,
2019,Central African Rep.,CAF,No,,
2020,Central African Rep.,CAF,No,,
2014,Canada,CAN,Yes,,
2015,Canada,CAN,No,,
2016,Canada,CAN,No,,
2014,Cambodia,KHM,No,,
2015,Cambodia,KHM,Yes,,
2017,Cambodia,KHM,Yes,,
2018,Cambodia,KHM,Yes,,
2019,Cambodia,KHM,Yes,,
2020,Cambodia,KHM,Yes,,
2015,Chile,CHL,Yes,,
2018,Chile,CHL,Yes,,
2019,Chile,CHL,Yes,,
2020,Chile,CHL,Yes,,
2019,China,CHN,Yes,,
2020,China,CHN,Yes,,
2014,Colombia,COL,Yes,,
2018,Colombia,COL,Yes,,
2019,Colombia,COL,Yes,,
2020,Colombia,COL,Yes,,
2019,Sri Lanka,LKA,Yes,,
2020,Sri Lanka,LKA,Yes,,
2019,Cameroon,CMR,Yes,,
2020,Cameroon,CMR,Yes,,
2018,Congo (Rep. of the),COG,Yes,,
2019,Congo (Rep. of the),COG,Yes,,
2020,Congo (Rep. of the),COG,Yes,,
2014,Comoros,COM,Yes,,
2016,Comoros,COM,Yes,,
2018,Comoros,COM,Yes,,
2019,Comoros,COM,Yes,,
2020,Comoros,COM,Yes,,
2019,Cabo Verde,CPV,Yes,,
2020,Cabo Verde,CPV,Yes,,
2014,Costa Rica,CRI,No,,
2015,Costa Rica,CRI,Yes,,
2016,Costa Rica,CRI,Yes,,
2017,Costa Rica,CRI,Yes,,
2018,Costa Rica,CRI,Yes,,
2019,Costa Rica,CRI,Yes,,
2020,Costa Rica,CRI,Yes,,
2018,Cuba,CUB,Yes,,
2019,Cuba,CUB,Yes,,
2020,Cuba,CUB,Yes,,
2014,Vatican,VAT,Yes,,
2014,Cyprus,CYP,Yes,,
2016,Cyprus,CYP,Yes,,
2017,Cyprus,CYP,Yes,,
2018,Cyprus,CYP,Yes,,
2019,Cyprus,CYP,Yes,,
2020,Cyprus,CYP,Yes,,
2014,Germany,DEU,Yes,,
2015,Germany,DEU,Yes,,
2016,Germany,DEU,Yes,,
2018,Germany,DEU,Yes,,
2019,Germany,DEU,Yes,,
2020,Germany,DEU,Yes,,
2014,Dominica,DMA,No,,
2016,Dominica,DMA,No,,
2019,Denmark,DNK,Yes,,
2014,Dominican Rep.,DOM,No,,
2015,Dominican Rep.,DOM,Yes,,
2016,Dominican Rep.,DOM,Yes,,
2017,Dominican Rep.,DOM,Yes,,
2018,Dominican Rep.,DOM,Yes,,
2019,Dominican Rep.,DOM,Yes,,
2020,Dominican Rep.,DOM,Yes,,
2014,Spain,ESP,Yes,,
2015,Spain,ESP,Yes,,
2016,Spain,ESP,Yes,,
2017,Spain,ESP,Yes,,
2018,Spain,ESP,Yes,,
2019,Spain,ESP,Yes,,
2020,Spain,ESP,Yes,,
2015,Egypt,EGY,Yes,,
2019,Egypt,EGY,Yes,,
2020,Egypt,EGY,Yes,,
2018,Ecuador,ECU,Yes,,
2019,Ecuador,ECU,Yes,,
2020,Ecuador,ECU,Yes,,
2015,Estonia,EST,No,,
2016,Estonia,EST,Yes,,
2017,Estonia,EST,Yes,,
2018,Estonia,EST,Yes,,
2019,Estonia,EST,Yes,,
2020,Estonia,EST,Yes,,
2014,Ethiopia,ETH,Yes,,
2016,Ethiopia,ETH,Yes,,
2018,Ethiopia,ETH,Yes,,
2018,France,FRA,Yes,,
2019,France,FRA,Yes,,
2020,France,FRA,Yes,,
2014,Finland,FIN,No,,
2015,Finland,FIN,Yes,,
2017,Finland,FIN,Yes,,
2018,Finland,FIN,Yes,,
2019,Finland,FIN,Yes,,
2020,Finland,FIN,Yes,,
2016,Micronesia,FSM,Yes,,
2019,Micronesia,FSM,Yes,,
2020,Micronesia,FSM,Yes,,
2014,United Kingdom,GBR,Yes,,
2019,United Kingdom,GBR,Yes,,
2020,United Kingdom,GBR,Yes,,
2018,Gabon,GAB,Yes,,
2019,Gabon,GAB,Yes,,
2020,Gabon,GAB,Yes,,
2014,Ghana,GHA,Yes,,
2018,Ghana,GHA,Yes,,
2019,Ghana,GHA,Yes,,
2020,Ghana,GHA,Yes,,
2014,Equatorial Guinea,GNQ,Yes,,
2015,Equatorial Guinea,GNQ,Yes,,
2016,Equatorial Guinea,GNQ,No,,
2018,Equatorial Guinea,GNQ,No,,
2019,Equatorial Guinea,GNQ,No,,
2020,Equatorial Guinea,GNQ,Yes,,
2014,Greece,GRC,Yes,,
2015,Greece,GRC,Yes,,
2016,Greece,GRC,Yes,,
2017,Greece,GRC,Yes,,
2018,Greece,GRC,Yes,,
2019,Greece,GRC,Yes,,
2020,Greece,GRC,Yes,,
2016,Guatemala,GTM,Yes,,
2017,Guatemala,GTM,Yes,,
2018,Guatemala,GTM,Yes,,
2019,Guatemala,GTM,Yes,,
2020,Guatemala,GTM,Yes,,
2014,Guinea,GIN,No,,
2019,Guyana,GUY,No,,
2020,Guyana,GUY,No,,
2014,"Hong Kong, China",HKG,No,,
2018,Honduras,HND,No,,
2019,Honduras,HND,No,,
2020,Honduras,HND,Yes,,
2018,Hungary,HUN,Yes,,
2019,Hungary,HUN,Yes,,
2020,Hungary,HUN,Yes,,
2018,Netherlands,NLD,Yes,,
2019,Netherlands,NLD,Yes,,
2014,Croatia,HRV,Yes,,
2016,Croatia,HRV,Yes,,
2017,Croatia,HRV,Yes,,
2018,Croatia,HRV,Yes,,
2019,Croatia,HRV,Yes,,
2020,Croatia,HRV,Yes,,
2014,Italy,ITA,Yes,,
2020,India,IND,Yes,,
2015,Indonesia,IDN,Yes,,
2016,Indonesia,IDN,No,,
2017,Indonesia,IDN,No,,
