year,country,iso,value,note,source
2015,South Africa,ZAF,0.174805,,
2019,Albania,ALB,3.42097,,INSTAT (Institute of Statistics)
2020,Albania,ALB,4.08444,,INSTAT (Institute of Statistics)
2018,Algeria,DZA,26.465,,"Ministry of Post, Telecommunications, Technologies and Digital"
2016,Saudi Arabia,SAU,8.42182,,CITC
2017,Saudi Arabia,SAU,2.99142,,Communication and Information Technology Commission (CITC)
2018,Saudi Arabia,SAU,7.78058,,Communication and Information Technology Commission
2019,Saudi Arabia,SAU,11.224,,Communications andI nformation Technology Commision
2016,Austria,AUT,2.12558,,Statistics Austria
2017,Austria,AUT,1.04493,,Statistics Austria
2017,Azerbaijan,AZE,0.850573,,State Statistical Committee
2018,Azerbaijan,AZE,0.850643,,State Statistical Committee
2019,Azerbaijan,AZE,1.80002,,State Statistical Committee
2020,Azerbaijan,AZE,7.60006,,State Statistical Committee
2013,Brazil,BRA,6.74122,,NIC.br
2014,Brazil,BRA,8.90024,,NIC.br
2016,Brazil,BRA,26.9759,,NIC.br
2017,Brazil,BRA,28.31,,NIC.br
2018,Brazil,BRA,26.8186,,NIC.br
2019,Brazil,BRA,25.099,,NIC.br
2020,Brazil,BRA,32.0213,,NIC.br
2016,Belgium,BEL,0.611939,,Algemene Directie Statistiek - Statistics Belgium Direction Générale Statistique - Statistics Belgium
2017,Belgium,BEL,0.173154,,Statbel (Algemene Directie Statistiek - Statistics Belgium) Statbel (Direction générale Statistique - Statistics Belgium)
2020,Belgium,BEL,1.11012,,Statistics Belgium (Statbel)
2015,Bermuda,BMU,1.00069,,Department of Statistics
2016,Bermuda,BMU,12.5094,,Bermuda Government - Department of Statistics
2016,Bahrain,BHR,52.4189,,Telecommunications Regulatory Authority (TRA)
2017,Bahrain,BHR,3.99152,,Telecommunications Regulatory Authority (TRA)
2018,Bahrain,BHR,28.557,,Telecommunications Regulatory Authority (TRA)
2014,Botswana,BWA,0.920024,,Statistics Botswana
2016,Brunei Darussalam,BRN,75.9984,,Authority for Info-communications Technology Industry of Brunei Darussalam
2018,Brunei Darussalam,BRN,9.28474,,Authority for Info-communciations Technology Industry of Brunei Darussalam (AITI)
2021,Bhutan,BTN,6.47065,,MINISTRY OF INFORMATION AND COMMUNICATIONS
2016,Bulgaria,BGR,1.06152,,National Statistical Institute
2017,Bulgaria,BGR,0.660868,,National Statistical Institute
2019,Bulgaria,BGR,0.556295,,National Statistical Institute
2013,Colombia,COL,1.66453,,Departamento Administrativo Nacional de Estadística - DANE
2014,Colombia,COL,1.69469,,Departamento Administrativo Nacional de Estadística - DANE
2015,Colombia,COL,1.94914,,Departamento Administrativo Nacional de Estadística - DANE
2016,Colombia,COL,4.70621,,Departamento Administrativo Nacional de Estadística - DANE
2017,Colombia,COL,4.4728,,Departamento Administrativo Nacional de Estadística - DANE
2018,Colombia,COL,7.73517,,Departamento Administrativo Nacional de Estadística - DANE
2018,Cabo Verde,CPV,8.60325,,INSTITUTO NACIONAL DE ESTATISTICAS
2019,Cabo Verde,CPV,4.01811,,INSTITUTO NACIONAL DE ESTATISTICA
2019,Côte d'Ivoire,CIV,6.79449,,ARTCI
2016,Cyprus,CYP,2.36037,,STATISTICAL SERVICE OF CYPRUS
2019,Cyprus,CYP,2.49649,,STATISTICAL SERVICE OF CYPRUS
2017,Denmark,DNK,1.29882,,Statistics Denmark 
2016,Spain,ESP,2.27234,,Instituto Nacional de Estadística (INE)
2017,Spain,ESP,4.13933,,Instituto Nacional de Estadística (INE)
2019,Spain,ESP,5.09822,,Instituto Nacional de Estadística (INE)
2014,Egypt,EGY,56.416,,Ministry of Communications and Information Technology
2015,Egypt,EGY,0.800915,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2016,Egypt,EGY,1.57474,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2017,Egypt,EGY,0.584906,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2018,Egypt,EGY,1.72531,,Ministry of Communications and Information Technology
2019,Egypt,EGY,1.83919,,Ministry of Communications and Information Technology
2020,Egypt,EGY,1.83919,,Ministry of Communications and Information Technology
2017,Ecuador,ECU,5.31528,,Instituto Nacional de Estadística y Censos (INEC)
2019,France,FRA,4.78037,,Insee
2017,Hungary,HUN,4.79455,,Hungarian Central Statistical Office
2019,Hungary,HUN,6.63761,,Hungarian Central Statistical Office 
2016,Croatia,HRV,15.0079,,Croatian Bureau of Statistics
2017,Croatia,HRV,25.3673,,Croatian Bureau of Statistics
2018,Croatia,HRV,6.13074,,Croatian Bureau of Statistics
2019,Croatia,HRV,2.77861,,Croatian Bureau of Statistics
2020,Croatia,HRV,10.43,,Croatian Bureau of Statistics
2017,Italy,ITA,2.91266,,Istat – National Institute of Statistics
2020,Italy,ITA,1.65333,,National Institute of Statistics
2013,Iran (Islamic Republic of),IRN,12.78,,Statistical Centre of Iran
2015,Iran (Islamic Republic of),IRN,2.66499,,Statistical Centre of Iran
2017,Iran (Islamic Republic of),IRN,6.74357,,Statistical Centre of Iran
2015,Jamaica,JAM,7.06694,,Statistical Institute of Jamaica (STATIN)
2016,Jamaica,JAM,9.66515,,THE STATISTICAL INSTITUTE OF JAMAICA (STATIN)
2017,Jamaica,JAM,10.9788,,Statistical Institute of Jamaica
