year,country,iso,value,note,source
1999,Afghanistan,AFG,Yes,,
2000,Afghanistan,AFG,Yes,,
2004,Afghanistan,AFG,Yes,,
2005,Afghanistan,AFG,No,,
2014,Afghanistan,AFG,Yes,,
2018,Afghanistan,AFG,Yes,,
2019,Afghanistan,AFG,Yes,,
2020,Afghanistan,AFG,Yes,,
1998,South Africa,ZAF,No,,
1999,South Africa,ZAF,Yes,,
2003,South Africa,ZAF,No,,
2004,South Africa,ZAF,No,,
2015,South Africa,ZAF,Yes,,
2018,South Africa,ZAF,Yes,,
2019,South Africa,ZAF,Yes,,
2020,South Africa,ZAF,Yes,,
1998,Angola,AGO,Yes,,
1999,Angola,AGO,Yes,,
2000,Angola,AGO,Yes,,
2001,Angola,AGO,Yes,,
2002,Angola,AGO,Yes,,
2003,Angola,AGO,Yes,,
2004,Angola,AGO,Yes,,
2007,Angola,AGO,Yes,,
2008,Angola,AGO,Yes,,
2020,Angola,AGO,Yes,,
1998,Albania,ALB,Yes,,
1999,Albania,ALB,Yes,,
2000,Albania,ALB,Yes,,
2003,Albania,ALB,Yes,,
2004,Albania,ALB,Yes,,
2005,Albania,ALB,Yes,,
2006,Albania,ALB,Yes,,
2014,Albania,ALB,Yes,,
2015,Albania,ALB,Yes,,
2016,Albania,ALB,Yes,,
2017,Albania,ALB,Yes,,
2018,Albania,ALB,Yes,,
2019,Albania,ALB,Yes,,
2020,Albania,ALB,Yes,,
1998,Algeria,DZA,Yes,,
2004,Algeria,DZA,Yes,,
2005,Algeria,DZA,Yes,,
2015,Algeria,DZA,Yes,,
2016,Algeria,DZA,Yes,,
2017,Algeria,DZA,Yes,,
2018,Algeria,DZA,Yes,,
2019,Algeria,DZA,Yes,,
2020,Algeria,DZA,Yes,,
1998,Andorra,AND,Yes,,
2007,Andorra,AND,Yes,,
2008,Andorra,AND,Yes,,
2009,Andorra,AND,Yes,,
2010,Andorra,AND,Yes,,
2011,Andorra,AND,Yes,,
2012,Andorra,AND,Yes,,
2016,Andorra,AND,Yes,,
1998,Argentina,ARG,No,,
2001,Argentina,ARG,Yes,,
2006,Argentina,ARG,Yes,,
2007,Argentina,ARG,Yes,,
2008,Argentina,ARG,Yes,,
2009,Argentina,ARG,Yes,,
2010,Argentina,ARG,Yes,,
2018,Argentina,ARG,No,,
2019,Argentina,ARG,No,,
2020,Argentina,ARG,No,,
1998,Armenia,ARM,No,,
1999,Armenia,ARM,No,,
2001,Armenia,ARM,No,,
2002,Armenia,ARM,No,,
2003,Armenia,ARM,No,,
2005,Armenia,ARM,No,,
2013,Armenia,ARM,No,,
2014,Armenia,ARM,No,,
