category,subcategory,label,codeID,answerType,units,codeDesc,question,startYear,endYear,indicatorID
Connectivity,Access,Cable TV (CATV),100002,Number,%,Households with multichannel television by type: Households with cable TV (CATV): All households,,2011,2021,16262
Connectivity,Access,Direct-to-home (DTH) satellite services,100002,Number,%,Households with multichannel television by type: Households with direct-to-home (DTH) satellite services: All households,,2013,2021,16271
Connectivity,Access,Internet-protocol TV (IPTV),100002,Number,%,Households with multichannel television by type: Households with Internet-protocol TV (IPTV): All households,,2013,2020,16280
Connectivity,Access,Digital terrestrial TV (DTT),100002,Number,%,Households with multichannel television by type: Households with digital terrestrial TV (DTT): All households,,2013,2021,16289
Connectivity,Access,By fixed narrowband network,100001,Number,%,"Households with access to Internet, by type of service: By fixed narrowband network: All households",,2003,2021,8845
Connectivity,Access,By fixed (wired) broadband,100001,Number,%,"Households with access to Internet, by type of service: By fixed (wired) broadband: All households",,2003,2021,8869
Connectivity,Access,By broadband,100001,Number,%,"Households with access to Internet, by type of service: By broadband: All households",,2003,2021,12470
Connectivity,Access,By mobile broadband network via a handset,100001,Number,%,"Households with access to Internet, by type of service: By mobile broadband network via a handset: All households",,2010,2021,16217
Connectivity,Access,By mobile broadband network via a card or USB modem,100001,Number,%,"Households with access to Internet, by type of service: By mobile broadband network via a card or USB modem: All households",,2010,2021,16226
Connectivity,Access,By satellite broadband network,100001,Number,%,"Households with access to Internet, by type of service: By satellite broadband network: All households",,2013,2021,16235
Connectivity,Access,By terrestrial fixed (wireless) broadband network,100001,Number,%,"Households with access to Internet, by type of service: By terrestrial fixed (wireless) broadband network: All households",,2010,2021,16244
Connectivity,Access,By fixed broadband network only,100001,Number,%,"Households with access to Internet, by type of service: By fixed broadband network only (any type of connection): All households",,2011,2021,32183
Connectivity,Access,By mobile broadband network only,100001,Number,%,"Households with access to Internet, by type of service: By mobile broadband network only (any type of connection): All households",,2011,2021,32192
Connectivity,Access,By fixed broadband and mobile broadband network,100001,Number,%,"Households with access to Internet, by type of service: By fixed broadband and mobile broadband network (any type of connection): All households",,2011,2021,32201
Connectivity,Access,Do not need the Internet,100000,Number,%,Reasons for not having Internet access (i.e. Barriers): Do not need the Internet: All households,,2013,2021,16298
Connectivity,Access,Have access to the Internet elsewhere,100000,Number,%,Reasons for not having Internet access (i.e. Barriers): Have access to the Internet elsewhere: All households,,2013,2021,16307
Connectivity,Access,Cost of the equipment is too high,100000,Number,%,Reasons for not having Internet access (i.e. Barriers): Cost of the equipment is too high: All households,,2013,2021,16325
Connectivity,Access,Cost of service is too high,100000,Number,%,Reasons for not having Internet access (i.e. Barriers): Cost of service is too high: All households,,2013,2021,16334
Connectivity,Access,Privacy or security concerns,100000,Number,%,Reasons for not having Internet access (i.e. Barriers): Privacy or security concerns: All households,,2013,2021,16343
Connectivity,Access,Internet service is not available in the area,100000,Number,%,Reasons for not having Internet access (i.e. Barriers): Internet service is not available in the area: All households,,2013,2021,16352
